# airline	from	to	codeshare	stops	equipment
# Date: 2012-10-14
2P	CEB	PPS		0	320
2P	CEB	SUG		0	DH4
2P	CEB	TAC		0	DH4
2P	CEB	ZAM		0	DH4
2P	CGY	CEB		0	DH4
2P	CGY	DVO		0	DH4
2P	CGY	MNL		0	320
2P	CRK	CEB		0	320
2P	CRK	DVO		0	320
2P	CRK	HKG		0	320
2P	CRK	KLO		0	320
2P	CRK	PPS		0	320
2P	CRM	MNL		0	DH4
2P	CYP	MNL		0	DH4
2P	DVO	CEB		0	320 DH4
2P	DVO	CGY		0	DH4
2P	DVO	CRK		0	320
2P	DVO	ILO		0	320
2P	DVO	MNL		0	320
2P	DVO	ZAM		0	DH4
2P	GES	CEB		0	320
2P	GES	ILO		0	320
2P	GES	MNL		0	320
2P	HKG	CEB		0	320
2P	HKG	CRK		0	320
2P	ILO	CEB		0	DH4
2P	ILO	DVO		0	320
2P	ILO	GES		0	320
2P	ILO	MNL		0	320
2P	JOL	ZAM		0	DH4
2P	KLO	CEB		0	DH4
2P	KLO	CRK		0	320
2P	KLO	MNL		0	320
2P	KUL	MNL		0	320
2P	LAO	MNL		0	DH4
2P	LGP	MNL		0	320
2P	MBT	MNL		0	DH3
2P	MNL	BCD		0	320
2P	MNL	CBO		0	320
2P	MNL	CEB		0	320
2P	MNL	CGY		0	320
2P	MNL	CRM		0	DH4
2P	MNL	CYP		0	DH4
2P	MNL	DVO		0	320
2P	MNL	GES		0	320
2P	MNL	ILO		0	320
2P	MNL	KLO		0	320
2P	MNL	KUL		0	320
2P	MNL	LAO		0	DH4
2P	MNL	LGP		0	320
2P	MNL	MBT		0	DH3
2P	MNL	MPH		0	DH3
2P	MNL	OZC		0	320
2P	MNL	PPS		0	320
2P	MNL	SIN		0	320
2P	MNL	SJI		0	DH3
2P	MNL	SUG		0	DH4
2P	MNL	TAC		0	320
2P	MNL	TAG		0	320
2P	MNL	TUG		0	DH4 320
2P	MNL	USU		0	DH4
2P	MNL	WNP		0	DH4
2P	MNL	ZAM		0	320
2P	MPH	CEB		0	DH3
2P	MPH	MNL		0	DH3
2P	OZC	CEB		0	DH4
2P	OZC	MNL		0	320
2P	PAG	CEB		0	DH4
2P	PPS	CEB		0	320
2P	PPS	CRK		0	320
2P	PPS	MNL		0	320
2P	PPS	USU		0	DH4
2P	SIN	MNL		0	320
2P	SJI	MNL		0	DH3
2P	SUG	CEB		0	DH4
2P	SUG	MNL		0	DH4
2P	TAC	CEB		0	DH4
2P	TAC	MNL		0	320
2P	TAG	MNL		0	320
2P	TUG	MNL		0	DH4 320
2P	TWT	ZAM		0	DH4
2P	USU	MNL		0	DH4
2P	USU	PPS		0	DH4
2P	WNP	MNL		0	DH4
2P	ZAM	CEB		0	DH4
2P	ZAM	DVO		0	DH4
2P	ZAM	JOL		0	DH4
2P	ZAM	MNL		0	320
2P	ZAM	TWT		0	DH4
3E	BRL	ORD		0	CNC
3E	BRL	STL		0	CNC
3E	DEC	ORD		0	CNC
3E	DEC	STL		0	CNC
3E	JBR	STL		0	CNC
3E	ORD	BRL		0	CNC
3E	ORD	DEC		0	CNC
3E	STL	BRL		0	CNC
3E	STL	DEC		0	CNC
3E	STL	JBR		0	CNC
3F	CGA	HYL		0	DHP
3F	CGA	KTN		0	DHP
3F	HYL	CGA		0	DHP
3F	HYL	KTB		0	DHP
3F	HYL	KTN		0	DHP
3F	KTB	HYL		0	DHP
3F	KTB	KTN		0	DHP
3F	KTN	CGA		0	DHP
3F	KTN	HYL		0	DHP
3F	KTN	KTB		0	DHP
3F	KTN	MTM		0	DHP
3F	MTM	KTN		0	DHP
3H	AKV	YIK		0	DH8
3H	AKV	YPX		0	DH8
3H	XGR	YVP		0	DHT BET
3H	YGL	YGW		0	DHT
3H	YGL	YPX		0	73M DH8
3H	YGL	YUL		0	73M DH8
3H	YGW	YGL		0	DHT
3H	YGW	YSK		0	DH8
3H	YGW	YUD		0	DH8
3H	YGW	YUL		0	DH8
3H	YGW	YUY		0	DH8
3H	YIK	AKV		0	DH8
3H	YIK	YZG		0	DH8
3H	YKG	YPJ		0	DHT DH8
3H	YKG	YQC		0	DH8
3H	YKG	YVP		0	DH8 DHT
3H	YKL	YQB		0	DH8
3H	YKL	YVP		0	DH8 BET
3H	YKL	YWK		0	BET
3H	YKL	YZV		0	BET DH8
3H	YPH	YPX		0	DH8 BET
3H	YPH	YUD		0	DH8
3H	YPH	YVP		0	BET
3H	YPJ	YKG		0	DHT DH8
3H	YPJ	YTQ		0	DHT DH8
3H	YPJ	YVP		0	DHT
3H	YPX	AKV		0	DH8
3H	YPX	YGL		0	73M DH8
3H	YPX	YPH		0	DH8
3H	YPX	YVP		0	BET
3H	YPX	YZG		0	DH8
3H	YQB	YKL		0	DH8
3H	YQB	YUL		0	DH8
3H	YQC	YKG		0	DH8
3H	YQC	YWB		0	DH8
3H	YSK	YGW		0	DH8
3H	YSK	YUD		0	DH8
3H	YTQ	YPJ		0	DHT DH8
3H	YTQ	YVP		0	DHT DH8
3H	YUD	YGW		0	DH8
3H	YUD	YPH		0	DH8
3H	YUD	YSK		0	DH8
3H	YUL	YGL		0	73M DH8
3H	YUL	YGW		0	DH8
3H	YUL	YQB		0	DH8
3H	YUL	YUY		0	DH8
3H	YUY	YGW		0	DH8
3H	YUY	YUL		0	DH8
3H	YVP	XGR		0	DHT BET
3H	YVP	YKG		0	DH8
3H	YVP	YKL		0	DH8 BET
3H	YVP	YPH		0	BET
3H	YVP	YPX		0	BET
3H	YVP	YTQ		0	DHT DH8
3H	YWB	YQC		0	DH8
3H	YWB	YZG		0	DH8
3H	YWK	YKL		0	BET
3H	YWK	YZV		0	BET
3H	YZG	YIK		0	DH8
3H	YZG	YPX		0	DH8
3H	YZG	YWB		0	DH8
3H	YZV	YKL		0	BET DH8
3H	YZV	YWK		0	BET
3J	EBB	NBO		0	737
3J	JIB	MGQ		0	737
3J	MGQ	JIB		0	737
3J	MGQ	NBO		0	737
3J	NBO	EBB		0	737
3J	NBO	MGQ		0	737
3K	BKK	SIN		0	320
3K	CAN	SIN		0	320
3K	HAK	SIN		0	320
3K	HAN	SIN		0	320
3K	HGH	SIN		0	320
3K	HKG	SIN		0	320
3K	HKT	SIN		0	320
3K	KIX	MNL		0	320
3K	KIX	TPE		0	320
3K	KUL	SIN		0	320
3K	MNL	KIX		0	320
3K	MNL	SIN		0	320
3K	NGB	SIN		0	320
3K	NNG	SIN		0	320
3K	PEN	SIN		0	320
3K	PER	SIN		0	320
3K	PNH	SIN		0	320
3K	REP	PNH		0	320
3K	RGN	SIN		0	320
3K	SGN	SIN		0	320
3K	SIN	BKK		0	320
3K	SIN	CAN		0	320
3K	SIN	HAK		0	320
3K	SIN	HAN		0	320
3K	SIN	HGH		0	320
3K	SIN	HKG		0	320
3K	SIN	HKT		0	320
3K	SIN	KUL		0	320
3K	SIN	MNL		0	320
3K	SIN	NGB		0	320
3K	SIN	NNG		0	320
3K	SIN	PEN		0	320
3K	SIN	PER		0	320
3K	SIN	PNH		0	320
3K	SIN	REP		0	320
3K	SIN	RGN		0	320
3K	SIN	SGN		0	320
3K	SIN	SWA		0	320
3K	SIN	TPE		0	320
3K	SWA	SIN		0	320
3K	TPE	KIX		0	320
3K	TPE	SIN		0	320
3L	DUS	FDH		0	DH3
3L	EBA	FDH		0	DH3
3L	EBA	MUC		0	DH3
3L	EBA	ZRH		0	DH3
3L	FDH	DUS		0	DH3
3L	FDH	EBA		0	DH3
3L	FDH	GRZ		0	DH3
3L	FDH	HAM		0	DH3
3L	FDH	TXL		0	DH3
3L	FDH	VIE		0	DH3
3L	GRZ	FDH		0	DH3
3L	HAM	FDH		0	DH3
3L	MUC	EBA		0	DH3
3L	TXL	FDH		0	DH3
3L	VIE	FDH		0	DH3
3L	ZRH	EBA		0	DH3
3M	DUJ	FKL		0	BE1
3O	AMS	NDR		0	320
3O	AMS	TNG		0	320
3O	BCN	CMN		0	320
3O	BCN	NDR		0	320
3O	BCN	TNG		0	320
3O	BGY	CMN		0	320
3O	BLQ	CMN		0	320
3O	BRU	CMN		0	320
3O	BRU	NDR		0	320
3O	BRU	TNG		0	320
3O	CGN	NDR		0	320
3O	CMN	BCN		0	320
3O	CMN	BGY		0	320
3O	CMN	BLQ		0	320
3O	CMN	BRU		0	320
3O	CMN	CUF		0	320
3O	CMN	LYS		0	320
3O	CMN	MPL		0	320
3O	CMN	SAW		0	320
3O	CMN	TSF		0	320
3O	CUF	CMN		0	320
3O	FEZ	MPL		0	320
3O	LYS	CMN		0	320
3O	MPL	CMN		0	320
3O	MPL	FEZ		0	320
3O	MPL	NDR		0	320
3O	NDR	AMS		0	320
3O	NDR	BCN		0	320
3O	NDR	BRU		0	320
3O	NDR	CGN		0	320
3O	NDR	MPL		0	320
3O	NDR	PMI		0	320
3O	SAW	CMN		0	320
3O	TNG	AMS		0	320
3O	TNG	BCN		0	320
3O	TNG	BRU		0	320
3O	TSF	CMN		0	320
3P	AUA	BON		0	SH6
3P	AUA	CUR		0	SH6
3P	AUA	LSP		0	SH6
3P	AUA	MAR		0	SH6
3P	AUA	RCH		0	SH6
3P	BON	AUA		0	SH6
